"minority","age","gender","credits","beauty","eval","division","native","tenure","students","allstudents","prof"
"no",43,"male","single",-0.4899626,4.3,"lower","yes","yes",17,18,"70"
"no",43,"male","single",-0.4899626,4.7,"lower","yes","yes",22,26,"70"
"no",43,"male","single",-0.4899626,4.3,"lower","yes","yes",18,30,"70"
"no",43,"male","more",-0.4899626,4.6,"lower","yes","yes",14,14,"70"
"yes",50,"male","single",-0.5835869,4.9,"lower","yes","no",20,22,"71"
"yes",50,"male","single",-0.5835869,4.8,"lower","yes","no",21,25,"71"
"yes",50,"male","single",-0.5835869,4.7,"lower","yes","no",23,26,"71"
"yes",50,"male","single",-0.5835869,4.8,"lower","yes","no",19,22,"71"
"yes",50,"male","single",-0.5835869,4.9,"lower","yes","no",20,26,"71"
"yes",50,"male","single",-0.5835869,4.8,"lower","yes","no",17,20,"71"
"yes",50,"male","single",-0.5835869,4.8,"lower","yes","no",18,22,"71"
"yes",50,"male","single",-0.5835869,5,"lower","yes","no",20,21,"71"
"yes",50,"male","single",-0.5835869,4.5,"lower","yes","no",19,21,"71"
"no",52,"male","more",0.7566829,3.8,"upper","yes","yes",46,65,"72"
"no",52,"male","more",0.7566829,3.8,"upper","yes","yes",39,62,"72"
"no",52,"male","more",0.7566829,3.8,"upper","yes","yes",34,67,"72"
"no",52,"male","more",0.7566829,4,"upper","yes","yes",29,40,"72"
"no",52,"male","more",0.7566829,4.2,"upper","yes","yes",27,45,"72"
"no",51,"male","more",0.8808186,4.5,"lower","yes","yes",372,579,"73"
"no",51,"male","more",0.8808186,4.5,"lower","yes","yes",343,537,"73"
"no",51,"male","more",0.8808186,4.6,"lower","yes","yes",380,581,"73"
"no",51,"male","more",0.8808186,4.7,"lower","yes","yes",322,527,"73"
"no",38,"male","more",-0.5665014,4.1,"lower","yes","yes",66,84,"74"
"no",38,"male","more",-0.5665014,3.6,"lower","yes","yes",40,79,"74"
"no",38,"male","more",-0.5665014,4,"lower","yes","yes",60,92,"74"
"no",47,"female","more",0.3394037,3.4,"lower","yes","yes",38,67,"75"
"yes",43,"female","more",-0.1513687,2.8,"lower","yes","yes",93,190,"76"
"no",38,"female","more",-1.024997,4.1,"lower","yes","no",36,60,"77"
"no",38,"female","more",-1.024997,3.5,"lower","yes","no",29,64,"77"
"no",38,"female","more",-1.024997,3.4,"lower","yes","no",23,31,"77"
"no",38,"female","more",-1.024997,4.1,"lower","yes","no",36,62,"77"
"no",38,"female","more",-1.024997,4.2,"lower","yes","no",30,37,"77"
"no",43,"male","more",-0.0252444,4.3,"lower","yes","yes",8,13,"78"
"no",43,"male","more",-0.0252444,4.1,"upper","yes","yes",12,15,"78"
"no",43,"male","more",-0.0252444,3.4,"upper","yes","yes",65,79,"78"
"no",57,"male","more",-0.7467875,3.5,"upper","yes","yes",53,98,"79"
"no",57,"male","more",-0.7467875,3.6,"upper","yes","yes",58,97,"79"
"no",51,"female","more",0.9889485,3.7,"upper","yes","yes",67,78,"80"
"no",51,"female","more",0.9889485,3,"upper","yes","yes",36,56,"80"
"no",51,"female","more",0.9889485,4.6,"upper","yes","yes",17,20,"80"
"no",45,"male","single",-0.5324199,4,"lower","yes","no",17,20,"81"
"no",45,"male","more",-0.5324199,4.8,"lower","yes","no",13,19,"81"
"no",45,"male","single",-0.5324199,4.6,"lower","yes","no",19,26,"81"
"no",57,"male","more",-0.7668921,3.4,"lower","yes","yes",12,18,"82"
"no",57,"male","more",-0.7668921,4.4,"lower","yes","yes",12,12,"82"
"no",57,"male","more",-0.7668921,3.6,"lower","yes","yes",16,19,"82"
"no",57,"male","more",-0.7668921,3.8,"lower","yes","yes",12,16,"82"
"no",57,"male","more",-0.7668921,3.7,"lower","yes","yes",14,16,"82"
"no",57,"male","more",-0.7668921,4.7,"lower","yes","yes",11,12,"82"
"no",57,"male","more",-0.7668921,4.5,"lower","yes","yes",15,17,"82"
"no",57,"male","more",-0.7668921,5,"upper","yes","yes",6,15,"82"
"no",57,"male","more",-0.7668921,3.8,"lower","yes","yes",15,16,"82"
"no",57,"male","more",-0.7668921,4.1,"lower","yes","yes",12,17,"82"
"no",47,"female","single",1.154256,4.3,"lower","yes","no",15,17,"83"
"no",47,"female","single",1.154256,4.4,"lower","yes","no",10,10,"83"
"no",47,"female","single",1.154256,4.7,"lower","yes","no",16,17,"83"
"no",47,"female","more",1.154256,3.9,"lower","yes","no",15,17,"83"
"yes",54,"female","more",1.232602,4.8,"lower","yes","yes",15,16,"84"
"yes",54,"female","more",1.232602,4.3,"lower","yes","yes",21,26,"84"
"yes",54,"female","more",1.232602,4.6,"lower","yes","yes",14,18,"84"
"yes",54,"female","more",1.232602,3.8,"lower","yes","yes",16,20,"84"
"no",58,"male","more",1.774334,5,"lower","yes","no",21,21,"85"
"no",58,"male","more",1.774334,4.9,"lower","yes","no",18,21,"85"
"no",58,"male","more",1.774334,4.6,"lower","yes","no",17,20,"85"
"no",58,"male","more",1.774334,4.6,"lower","yes","no",19,20,"85"
"no",58,"male","more",1.774334,5,"lower","yes","no",11,13,"85"
"no",58,"male","more",1.774334,4.6,"lower","yes","no",14,16,"85"
"no",58,"male","more",1.774334,4.9,"lower","yes","no",16,17,"85"
"no",42,"male","more",1.773151,4,"lower","yes","yes",22,24,"86"
"no",42,"male","more",1.773151,3.9,"upper","yes","yes",17,20,"86"
"no",33,"male","more",0.7245926,4.1,"lower","yes","yes",67,155,"87"
"no",62,"male","more",-1.181626,2.9,"lower","yes","yes",28,70,"88"
"no",62,"male","more",-1.181626,2.8,"lower","yes","yes",61,149,"88"
"no",62,"male","more",-1.181626,2.8,"lower","yes","yes",49,137,"88"
"no",62,"male","more",-1.181626,4,"upper","yes","yes",13,29,"88"
"no",62,"male","more",-1.181626,3.3,"lower","yes","yes",28,55,"88"
"no",62,"male","more",-1.181626,3,"lower","yes","yes",67,136,"88"
"yes",35,"female","more",1.769452,3.6,"lower","yes","yes",20,60,"89"
"yes",35,"female","more",1.769452,3.8,"lower","yes","yes",43,108,"89"
"no",61,"male","more",-0.5872612,3.9,"lower","yes","yes",13,15,"90"
"no",52,"female","more",-0.0018324,4.7,"lower","yes","yes",14,17,"91"
"no",52,"female","more",-0.0018324,4.7,"lower","yes","yes",19,19,"91"
"no",60,"female","more",-0.0566766,3.9,"upper","no","yes",18,19,"92"
"no",60,"female","more",-0.0566766,4.4,"upper","no","yes",11,13,"92"
"no",60,"female","more",-0.0566766,3.6,"upper","no","yes",18,19,"92"
"no",60,"female","more",-0.0566766,4.2,"upper","no","yes",11,22,"92"
"no",60,"female","more",-0.0566766,3.4,"upper","no","yes",7,20,"92"
"no",60,"female","more",-0.0566766,4,"upper","no","yes",24,27,"92"
"no",32,"male","more",1.231394,4.2,"lower","yes","yes",111,127,"93"
"no",32,"male","more",1.231394,4.4,"upper","yes","yes",62,85,"93"
"no",32,"male","more",1.231394,4.5,"lower","yes","yes",76,101,"93"
"no",32,"male","more",1.231394,3.2,"lower","yes","yes",9,21,"93"
"no",32,"male","more",1.231394,4.3,"upper","yes","yes",52,86,"93"
"yes",42,"female","more",0.4203998,3.3,"upper","no","yes",52,67,"94"
"yes",42,"female","more",0.4203998,3.2,"upper","no","yes",54,66,"94"
"yes",42,"female","single",0.4203998,4.1,"lower","no","yes",28,35,"94"
