"store","price","vol","disp"
"SAN FRANCISCO - LUCKY",3.688732,5227,1
"TAMPA/ST. PETE - KASH N KARRY",2.63406,4222,0
"TAMPA/ST. PETE - PUBLIX",2.483254,6479,1
"TAMPA/ST. PETE - WINN DIXIE",2.640567,5083,0
"DENVER - KING SOOPERS INC",3.426295,3514,0
"PHILADELPHIA - ACME MARKET",3.677095,2685,0
"ATLANTA - KROGER CO",3.382525,3754,1
"ATLANTA - WINN DIXIE",2.715064,2755,0
"CINCINNATI - KROGER CO",2.90429,4639,1
"INDIANAPOLIS - KROGER CO",2.653397,3768,1
"OKLAHOMA CITY - HOMELAND",2.417101,3263,1
"SACRAMENTO - RALEYS",3.802107,1329,1
"SAN DIEGO - LUCKY",2.722636,6313,1
"SAN DIEGO - RALPHS",3.72043,1395,1
"SALT LAKE CITY - SMITHS FOOD",2.653862,2499,1
"PHOENIX - SAFEWAY",3.587433,2053,1
"PHOENIX - FRY'S FOOD STORE",3.58613,1788,0
"PHOENIX - SMITHS FOOD",3.185841,1130,1
"MIAMI - PUBLIX",2.402562,10227,1
"MIAMI - WINN DIXIE",2.514492,8453,0
"NASHVILLE - KROGER CO",2.588896,2936,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.443941,3309,1
"RALEIGH/GREENSBORO - FOOD LION",2.530078,5735,1
"ALBANY,NY - PRICE CHOPPER",3.021614,694,0
"BALTI/WASH - GIANT FOOD INC",3.799769,3461,0
"BALTI/WASH - SAFEWAY",4.119569,6582,1
"BALTI/WASH - SUPER FRESH",3.878866,776,0
"MILWAUKEE - KOHLS FOOD STORE",3.044273,1423,0
"NEW ORLEANS - WINN DIXIE",2.8125,3024,0
"BUFFALO/ROCHESTER - TOPS MARKETS",3.254956,2522,1
"BUFFALO/ROCHESTER - WEGMANS",3.259029,2575,1
"CHARLOTTE - BI LO",2.386894,1587,0
"CHARLOTTE - HARRIS TEETER",2.459795,1853,0
"CHARLOTTE - WINN DIXIE",2.334061,2748,1
"CHARLOTTE - FOOD LION",2.426367,4407,1
"HARTFORD - STOP & SHOP",3.358804,1204,0
"JACKSONVILLE,FL - PUBLIX",2.495121,1947,1
"JACKSONVILLE,FL - WINN DIXIE",2.435389,3227,0
"JACKSONVILLE,FL - FOOD LION",2.528058,1390,1
"LOUISVILLE - KROGER CO",2.702252,2576,1
"LOUISVILLE - WINN DIXIE",2.600838,1671,1
"RICHMOND/NORFOLK - FOOD LION",2.479167,7152,1
"RICHMOND/NORFOLK - NEW FARM FRESH",2.605276,2009,0
"COLUMBUS,OH - BIG BEAR",3.442782,1337,1
"COLUMBUS,OH - KROGER CO",3.399749,2389,0
"LITTLE ROCK - HARVEST FOODS",2.92467,1593,0
"WICHITA - DILLON COMPANIES",3.071002,1507,1
"SOUTH CAROLINA - BI LO",2.386746,7439,1
"SOUTH CAROLINA - FOOD LION",2.469953,3611,1
"SOUTH CAROLINA - WINN DIXIE",2.386329,3321,0
"ORLANDO,FL - PUBLIX",2.457549,5842,1
"ORLANDO,FL - WINN DIXIE",2.521495,4629,1
"ORLANDO,FL - FOOD LION",2.496786,1089,1
"SYRACUSE - P & C FOOD MARKE",3.290541,444,1
"SYRACUSE - PRICE CHOPPER",2.788382,482,0
"SYRACUSE - WEGMANS",3.475309,810,1
"NEW ENGLAND (NORTH) - SHOP N SAVE",1.986702,7445,1
"SAN ANT/CORPUS CHR - H E BUTT",3.216614,14422,1
"BIRMINGHAM/MONTGOM - BRUNOS",2.320908,9255,1
"BIRMINGHAM/MONTGOM - KROGER",2.624733,1407,1
"BIRMINGHAM/MONTGOM - WINN DIXIE",2.323381,4756,1
"HARRISBURG/SCRANTN - GIANT FOOD STO",2.652291,1113,1
"NEW YORK (NEW) - A & P",4.396932,2673,0
"NEW YORK (NEW) - PATHMARK",4.387883,2707,0
"NEW YORK (NEW) - WALDBAUMS",4.427918,1311,0
"ROANOKE (NEW) - FOOD LION",2.538272,2848,1
"ROANOKE (NEW) - KROGER CO",2.455859,4361,1
"LOS ANGELES - LUCKY",3.110593,10733,1
"LOS ANGELES - RALPHS",2.520056,11418,1
"LOS ANGELES - VONS",3.679304,5170,0
"CHICAGO - DOMINICK",2.386672,21729,1
"CHICAGO - JEWEL",3.231595,12673,0
"CHICAGO - OMNI",1.706686,25996,1
"HOUSTON - KROGER CO",2.485767,7553,0
"HOUSTON - RANDALLS",3.628571,3220,0
"PITTSBURGH - GIANT EAGLE",2.302239,2680,0
"DETROIT - FARMER JACKS",3.26468,3355,1
"DETROIT - KROGER CO",2.725828,4530,0
"CLEVELAND - STOP N SHOP",2.50975,4000,1
"ST. LOUIS - NATIONAL SUPER",3.407168,2009,1
"ST. LOUIS - SCHNUCK MARKETS",3.153046,5482,1
"DALLAS/FT. WORTH - ALBERTSONS",2.653226,3348,0
"DALLAS/FT. WORTH - KROGER CO",3.729699,2623,0
"DALLAS/FT. WORTH - TOM THUMB",3.319946,2241,1
"DALLAS/FT. WORTH - WINN DIXIE",2.654436,1826,1
"BOSTON - SHAWS",2.450731,2598,0
"BOSTON - STAR MARKET",3.124046,524,0
"BOSTON - STOP & SHOP",2,7764,0
"SAN FRANCISCO - LUCKY",3.709346,5553,1
"TAMPA/ST. PETE - KASH N KARRY",2.618087,4014,0
"TAMPA/ST. PETE - PUBLIX",2.486711,6735,1
"TAMPA/ST. PETE - WINN DIXIE",2.581363,4990,0
"DENVER - KING SOOPERS INC",2.678249,8202,1
"PHILADELPHIA - ACME MARKET",1.986649,32358,1
"ATLANTA - KROGER CO",3.177914,3749,1
"ATLANTA - WINN DIXIE",2.70382,2539,0
"CINCINNATI - KROGER CO",3.01245,4257,1
"INDIANAPOLIS - KROGER CO",2.653362,3658,1
"OKLAHOMA CITY - HOMELAND",2.395219,2510,1
"SACRAMENTO - RALEYS",3.853047,1395,1
"SAN DIEGO - LUCKY",3.219312,4619,1
"SAN DIEGO - RALPHS",2.52006,4013,1
"SALT LAKE CITY - SMITHS FOOD",3.054075,1276,1
"PHOENIX - SAFEWAY",3.585907,1036,1
"PHOENIX - FRY'S FOOD STORE",3.587361,1614,0
"PHOENIX - SMITHS FOOD",2.520751,1012,1
"MIAMI - PUBLIX",2.391583,10289,1
"MIAMI - WINN DIXIE",2.520101,8358,0
"NASHVILLE - KROGER CO",1.999781,4561,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.462473,2798,1
"RALEIGH/GREENSBORO - FOOD LION",2.520592,5002,1
"ALBANY,NY - PRICE CHOPPER",2.821454,1417,0
"BALTI/WASH - GIANT FOOD INC",3.784205,3596,0
"BALTI/WASH - SAFEWAY",4.119878,4271,1
"BALTI/WASH - SUPER FRESH",3.919134,878,0
"MILWAUKEE - KOHLS FOOD STORE",3.028345,1764,0
"NEW ORLEANS - WINN DIXIE",2.9334,2988,0
"BUFFALO/ROCHESTER - TOPS MARKETS",2.24002,19890,1
"BUFFALO/ROCHESTER - WEGMANS",1.720027,51112,1
"CHARLOTTE - BI LO",2.387158,1573,0
"CHARLOTTE - HARRIS TEETER",2.487194,1757,0
"CHARLOTTE - WINN DIXIE",2.332977,2808,1
"CHARLOTTE - FOOD LION",2.485679,4015,1
"HARTFORD - STOP & SHOP",2,12537,0
"JACKSONVILLE,FL - PUBLIX",2.525574,1916,1
"JACKSONVILLE,FL - WINN DIXIE",2.434145,2999,0
"JACKSONVILLE,FL - FOOD LION",2.53112,1446,1
"LOUISVILLE - KROGER CO",2.717167,2231,1
"LOUISVILLE - WINN DIXIE",2.600469,1707,1
"RICHMOND/NORFOLK - FOOD LION",2.467762,6452,1
"RICHMOND/NORFOLK - NEW FARM FRESH",2.607807,2152,0
"COLUMBUS,OH - BIG BEAR",2.707611,2076,0
"COLUMBUS,OH - KROGER CO",2.21331,10323,1
"LITTLE ROCK - HARVEST FOODS",2.927374,1432,0
"WICHITA - DILLON COMPANIES",3.066242,1570,1
"SOUTH CAROLINA - BI LO",2.386606,6182,1
"SOUTH CAROLINA - FOOD LION",2.508103,3332,0
"SOUTH CAROLINA - WINN DIXIE",2.386271,3205,1
"ORLANDO,FL - PUBLIX",2.44956,5799,1
"ORLANDO,FL - WINN DIXIE",2.529196,4093,1
"ORLANDO,FL - FOOD LION",2.48004,1002,1
"SYRACUSE - P & C FOOD MARKE",3.336887,469,1
"SYRACUSE - PRICE CHOPPER",2.637183,1221,1
"SYRACUSE - WEGMANS",1.71993,13211,1
"NEW ENGLAND (NORTH) - SHOP N SAVE",2.048188,5105,1
"SAN ANT/CORPUS CHR - H E BUTT",3.011484,14890,1
"BIRMINGHAM/MONTGOM - BRUNOS",2.347866,8693,1
"BIRMINGHAM/MONTGOM - KROGER",2.024964,2083,1
"BIRMINGHAM/MONTGOM - WINN DIXIE",2.33931,4350,1
"HARRISBURG/SCRANTN - GIANT FOOD STO",2.678873,1065,1
"NEW YORK (NEW) - A & P",3.780637,3109,0
"NEW YORK (NEW) - PATHMARK",4.386415,2223,1
"NEW YORK (NEW) - WALDBAUMS",4.437279,1411,0
"ROANOKE (NEW) - FOOD LION",2.493419,3115,1
"ROANOKE (NEW) - KROGER CO",2.475089,5319,1
"LOS ANGELES - LUCKY",3.129266,10227,1
"LOS ANGELES - RALPHS",3.052865,6091,1
"LOS ANGELES - VONS",3.66384,5661,0
"CHICAGO - DOMINICK",3.217009,5009,1
"CHICAGO - JEWEL",2.386668,26418,1
"CHICAGO - OMNI",2.445277,3070,0
"HOUSTON - KROGER CO",2.475199,7923,0
"HOUSTON - RANDALLS",3.635558,3161,0
"PITTSBURGH - GIANT EAGLE",2.257426,2525,0
"DETROIT - FARMER JACKS",3.297026,2791,0
"DETROIT - KROGER CO",2.731121,4370,0
"CLEVELAND - STOP N SHOP",2.576798,3379,1
"ST. LOUIS - NATIONAL SUPER",2.700171,9362,1
"ST. LOUIS - SCHNUCK MARKETS",2.653316,8639,1
"DALLAS/FT. WORTH - ALBERTSONS",2.653543,3683,0
"DALLAS/FT. WORTH - KROGER CO",3.731177,1979,0
"DALLAS/FT. WORTH - TOM THUMB",3.319005,2373,0
"DALLAS/FT. WORTH - WINN DIXIE",2.653451,2043,1
"BOSTON - SHAWS",2.445556,2700,0
"BOSTON - STAR MARKET",3.120438,548,0
"BOSTON - STOP & SHOP",2.568266,1626,0
"SAN FRANCISCO - LUCKY",2.825845,9882,1
"TAMPA/ST. PETE - KASH N KARRY",2.614221,3966,0
"TAMPA/ST. PETE - PUBLIX",2.607683,5493,1
"TAMPA/ST. PETE - WINN DIXIE",2.537203,5134,1
"DENVER - KING SOOPERS INC",3.476761,4260,1
"PHILADELPHIA - ACME MARKET",3.702618,2559,1
"ATLANTA - KROGER CO",3.15,4040,1
"ATLANTA - WINN DIXIE",2.691695,2637,0
"CINCINNATI - KROGER CO",3.008114,4067,1
"INDIANAPOLIS - KROGER CO",2.652851,3402,1
"OKLAHOMA CITY - HOMELAND",2.521717,1934,1
"SACRAMENTO - RALEYS",3.852783,1114,1
"SAN DIEGO - LUCKY",3.263362,4135,1
"SAN DIEGO - RALPHS",3.053604,2164,1
"SALT LAKE CITY - SMITHS FOOD",2.638627,1165,1
"PHOENIX - SAFEWAY",2.653887,1878,1
"PHOENIX - FRY'S FOOD STORE",3.587451,1801,0
"PHOENIX - SMITHS FOOD",3.186563,1935,1
"MIAMI - PUBLIX",2.394688,10279,1
"MIAMI - WINN DIXIE",2.502458,8542,0
"NASHVILLE - KROGER CO",2.047597,4412,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.446508,2692,1
"RALEIGH/GREENSBORO - FOOD LION",2.54827,4972,1
"ALBANY,NY - PRICE CHOPPER",3.029605,608,0
"BALTI/WASH - GIANT FOOD INC",3.79162,3556,0
"BALTI/WASH - SAFEWAY",4.12,3575,1
"BALTI/WASH - SUPER FRESH",3.836145,830,0
"MILWAUKEE - KOHLS FOOD STORE",3.021993,3592,1
"NEW ORLEANS - WINN DIXIE",2.965837,2693,0
"BUFFALO/ROCHESTER - TOPS MARKETS",3.240427,2246,1
"BUFFALO/ROCHESTER - WEGMANS",2.653371,7697,1
"CHARLOTTE - BI LO",2.387524,1587,1
"CHARLOTTE - HARRIS TEETER",2.47083,1457,0
"CHARLOTTE - WINN DIXIE",2.332949,2601,1
"CHARLOTTE - FOOD LION",2.441896,3967,1
"HARTFORD - STOP & SHOP",3.358183,1167,0
"JACKSONVILLE,FL - PUBLIX",2.503046,1970,1
"JACKSONVILLE,FL - WINN DIXIE",2.44744,2930,0
"JACKSONVILLE,FL - FOOD LION",2.461282,1201,1
"LOUISVILLE - KROGER CO",2.691099,1910,1
"LOUISVILLE - WINN DIXIE",2.570106,2161,1
"RICHMOND/NORFOLK - FOOD LION",2.469485,4424,1
"RICHMOND/NORFOLK - NEW FARM FRESH",2.562297,2159,0
"COLUMBUS,OH - BIG BEAR",2.778596,2037,0
"COLUMBUS,OH - KROGER CO",3.166269,3771,1
"LITTLE ROCK - HARVEST FOODS",2.853789,1491,0
"WICHITA - DILLON COMPANIES",3.067227,1428,1
"SOUTH CAROLINA - BI LO",2.386603,6539,1
"SOUTH CAROLINA - FOOD LION",2.478982,3378,0
"SOUTH CAROLINA - WINN DIXIE",2.386891,2670,1
"ORLANDO,FL - PUBLIX",2.441923,5553,1
"ORLANDO,FL - WINN DIXIE",2.572351,4181,1
"ORLANDO,FL - FOOD LION",2.484631,976,1
"SYRACUSE - P & C FOOD MARKE",3.288382,482,1
"SYRACUSE - PRICE CHOPPER",2.736383,459,1
"SYRACUSE - WEGMANS",2.458282,2433,1
"NEW ENGLAND (NORTH) - SHOP N SAVE",1.986506,8374,1
"SAN ANT/CORPUS CHR - H E BUTT",3.053372,12441,1
"BIRMINGHAM/MONTGOM - BRUNOS",2.33167,9217,1
"BIRMINGHAM/MONTGOM - KROGER",2.017625,2156,1
"BIRMINGHAM/MONTGOM - WINN DIXIE",2.349797,3948,1
"HARRISBURG/SCRANTN - GIANT FOOD STO",2.656557,1121,1
"NEW YORK (NEW) - A & P",2.687252,5554,0
"NEW YORK (NEW) - PATHMARK",4.386655,2263,1
"NEW YORK (NEW) - WALDBAUMS",4.431579,1235,0
"ROANOKE (NEW) - FOOD LION",2.452069,2900,1
"ROANOKE (NEW) - KROGER CO",2.469708,4209,1
"LOS ANGELES - LUCKY",2.914849,12977,1
"LOS ANGELES - RALPHS",3.053093,5933,1
"LOS ANGELES - VONS",3.74912,5680,0
"CHICAGO - DOMINICK",3.257118,5690,1
"CHICAGO - JEWEL",2.400172,31314,1
"CHICAGO - OMNI",2.720326,3193,0
"HOUSTON - KROGER CO",2.486883,9606,0
"HOUSTON - RANDALLS",3.647315,2756,0
"PITTSBURGH - GIANT EAGLE",2.241673,3873,1
"DETROIT - FARMER JACKS",3.331829,2881,0
"DETROIT - KROGER CO",2.714394,5280,0
"CLEVELAND - STOP N SHOP",2.64251,4112,1
"ST. LOUIS - NATIONAL SUPER",3.255493,4278,1
"ST. LOUIS - SCHNUCK MARKETS",2.653354,9540,1
"DALLAS/FT. WORTH - ALBERTSONS",3.130759,3885,0
"DALLAS/FT. WORTH - KROGER CO",2.653014,2588,0
"DALLAS/FT. WORTH - TOM THUMB",3.74374,2396,0
"DALLAS/FT. WORTH - WINN DIXIE",2.50644,2174,1
"BOSTON - SHAWS",2.454009,2881,0
"BOSTON - STAR MARKET",3.116564,652,0
"BOSTON - STOP & SHOP",2.583424,1834,0
"SAN FRANCISCO - LUCKY",2.811007,12646,1
"TAMPA/ST. PETE - KASH N KARRY",2.679369,4566,0
"TAMPA/ST. PETE - PUBLIX",2.746207,4878,1
"TAMPA/ST. PETE - WINN DIXIE",2.670722,5178,0
"DENVER - KING SOOPERS INC",3.57532,3671,1
"PHILADELPHIA - ACME MARKET",3.712598,3048,0
"ATLANTA - KROGER CO",3.148085,4126,1
"ATLANTA - WINN DIXIE",2.705367,2739,0
"CINCINNATI - KROGER CO",3.028645,3910,1
"INDIANAPOLIS - KROGER CO",2.653001,3732,1
"OKLAHOMA CITY - HOMELAND",2.840589,1493,1
"SACRAMENTO - RALEYS",3.852769,1535,1
"SAN DIEGO - LUCKY",2.975076,6540,1
"SAN DIEGO - RALPHS",3.053423,1928,1
"SALT LAKE CITY - SMITHS FOOD",2.520309,2462,1
"PHOENIX - SAFEWAY",2.653264,2711,1
"PHOENIX - FRY'S FOOD STORE",2.586692,4193,0
"PHOENIX - SMITHS FOOD",3.186573,2696,1
"MIAMI - PUBLIX",2.5546,8141,1
"MIAMI - WINN DIXIE",2.531978,8412,0
"NASHVILLE - KROGER CO",2.012728,4557,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.432528,2816,1
"RALEIGH/GREENSBORO - FOOD LION",2.517221,4994,1
"ALBANY,NY - PRICE CHOPPER",3.027068,665,0
"BALTI/WASH - GIANT FOOD INC",3.760074,4343,0
"BALTI/WASH - SAFEWAY",4.119604,3336,0
"BALTI/WASH - SUPER FRESH",3.899044,941,0
"MILWAUKEE - KOHLS FOOD STORE",3.040155,1544,0
"NEW ORLEANS - WINN DIXIE",2.868962,3457,0
"BUFFALO/ROCHESTER - TOPS MARKETS",3.233964,2432,1
"BUFFALO/ROCHESTER - WEGMANS",3.347826,2185,1
"CHARLOTTE - BI LO",2.386183,1766,1
"CHARLOTTE - HARRIS TEETER",2.506427,1556,0
"CHARLOTTE - WINN DIXIE",2.333855,2558,1
"CHARLOTTE - FOOD LION",2.429745,4626,0
"HARTFORD - STOP & SHOP",3.352071,1352,0
"JACKSONVILLE,FL - PUBLIX",2.540305,1836,1
"JACKSONVILLE,FL - WINN DIXIE",2.437557,3307,0
"JACKSONVILLE,FL - FOOD LION",2.472222,1368,1
"LOUISVILLE - KROGER CO",2.710079,2411,1
"LOUISVILLE - WINN DIXIE",2.534195,1857,1
"RICHMOND/NORFOLK - FOOD LION",2.503762,5050,1
"RICHMOND/NORFOLK - NEW FARM FRESH",2.571363,2186,0
"COLUMBUS,OH - BIG BEAR",2.734912,2154,1
"COLUMBUS,OH - KROGER CO",3.186368,2318,1
"LITTLE ROCK - HARVEST FOODS",2.775543,1840,1
"WICHITA - DILLON COMPANIES",3.066158,1179,1
"SOUTH CAROLINA - BI LO",2.386762,7237,1
"SOUTH CAROLINA - FOOD LION",2.45741,4062,0
"SOUTH CAROLINA - WINN DIXIE",2.386781,2451,0
"ORLANDO,FL - PUBLIX",2.457359,4620,1
"ORLANDO,FL - WINN DIXIE",2.595897,4484,1
"ORLANDO,FL - FOOD LION",2.492674,1092,1
"SYRACUSE - P & C FOOD MARKE",3.313076,543,0
"SYRACUSE - PRICE CHOPPER",2.868173,531,1
"SYRACUSE - WEGMANS",3.453333,675,1
"NEW ENGLAND (NORTH) - SHOP N SAVE",1.986865,8222,1
"SAN ANT/CORPUS CHR - H E BUTT",3.079616,12485,1
"BIRMINGHAM/MONTGOM - BRUNOS",2.34275,10690,1
"BIRMINGHAM/MONTGOM - KROGER",2.047451,1981,0
"BIRMINGHAM/MONTGOM - WINN DIXIE",2.352207,4645,1
"HARRISBURG/SCRANTN - GIANT FOOD STO",3.126117,1007,1
"NEW YORK (NEW) - A & P",2.682062,11952,0
"NEW YORK (NEW) - PATHMARK",3.540535,31639,1
"NEW YORK (NEW) - WALDBAUMS",4.413818,1375,0
"ROANOKE (NEW) - FOOD LION",2.473353,3021,1
"ROANOKE (NEW) - KROGER CO",2.503025,4298,1
"LOS ANGELES - LUCKY",2.901173,14662,1
"LOS ANGELES - RALPHS",3.053577,6794,1
"LOS ANGELES - VONS",3.760656,5607,0
"CHICAGO - DOMINICK",3.258322,5377,1
"CHICAGO - JEWEL",3.106413,12630,0
"CHICAGO - OMNI",2.729588,2866,0
"HOUSTON - KROGER CO",2.430452,14127,1
"HOUSTON - RANDALLS",3.661724,2900,0
"PITTSBURGH - GIANT EAGLE",2.254155,2888,1
"DETROIT - FARMER JACKS",3.254823,2747,0
"DETROIT - KROGER CO",2.74012,3998,0
"CLEVELAND - STOP N SHOP",2.876634,2448,1
"ST. LOUIS - NATIONAL SUPER",3.730839,1657,0
"ST. LOUIS - SCHNUCK MARKETS",2.818144,9612,1
"DALLAS/FT. WORTH - ALBERTSONS",3.205333,3000,0
"DALLAS/FT. WORTH - KROGER CO",3.735772,2214,0
"DALLAS/FT. WORTH - TOM THUMB",2.666667,1899,0
"DALLAS/FT. WORTH - WINN DIXIE",2.506981,2292,1
"BOSTON - SHAWS",2.443745,2702,0
"BOSTON - STAR MARKET",3.12,500,0
"BOSTON - STOP & SHOP",2.596587,1641,0
"SAN FRANCISCO - LUCKY",3.551659,7385,1
"TAMPA/ST. PETE - KASH N KARRY",2.644606,4125,0
"TAMPA/ST. PETE - PUBLIX",2.791485,4134,1
"TAMPA/ST. PETE - WINN DIXIE",2.761011,4314,0
"DENVER - KING SOOPERS INC",3.508966,3792,0
"PHILADELPHIA - ACME MARKET",3.710786,2531,0
"ATLANTA - KROGER CO",3.144486,4035,0
"ATLANTA - WINN DIXIE",2.693456,2613,0
"CINCINNATI - KROGER CO",3.052259,3387,1
"INDIANAPOLIS - KROGER CO",2.653449,3581,1
"OKLAHOMA CITY - HOMELAND",3.237776,1043,0
"SACRAMENTO - RALEYS",3.739072,1487,1
"SAN DIEGO - LUCKY",3.015382,5656,1
"SAN DIEGO - RALPHS",3.053671,2329,1
"SALT LAKE CITY - SMITHS FOOD",2.974017,1424,1
"PHOENIX - SAFEWAY",2.653896,2323,1
"PHOENIX - FRY'S FOOD STORE",2.573017,4677,0
"PHOENIX - SMITHS FOOD",3.320291,1099,1
"MIAMI - PUBLIX",2.772096,9074,1
"MIAMI - WINN DIXIE",2.512237,8662,0
"NASHVILLE - KROGER CO",2.912909,2595,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.450851,2879,1
"RALEIGH/GREENSBORO - FOOD LION",2.582585,4341,0
"ALBANY,NY - PRICE CHOPPER",2.386649,1513,1
"BALTI/WASH - GIANT FOOD INC",3.798802,3171,0
"BALTI/WASH - SAFEWAY",4.121179,2781,0
"BALTI/WASH - SUPER FRESH",3.90849,907,0
"MILWAUKEE - KOHLS FOOD STORE",3.048872,1064,0
"NEW ORLEANS - WINN DIXIE",2.681409,4002,0
"BUFFALO/ROCHESTER - TOPS MARKETS",3.233843,2027,1
"BUFFALO/ROCHESTER - WEGMANS",3.346309,2235,1
"CHARLOTTE - BI LO",2.386473,1863,1
"CHARLOTTE - HARRIS TEETER",2.486034,1790,0
"CHARLOTTE - WINN DIXIE",2.3331,2852,1
"CHARLOTTE - FOOD LION",2.462856,4146,1
"HARTFORD - STOP & SHOP",3.329904,1361,0
"JACKSONVILLE,FL - PUBLIX",2.517522,1598,0
"JACKSONVILLE,FL - WINN DIXIE",2.422936,3828,0
"JACKSONVILLE,FL - FOOD LION",2.467269,1329,1
"LOUISVILLE - KROGER CO",2.723404,2303,1
"LOUISVILLE - WINN DIXIE",2.600459,1742,1
"RICHMOND/NORFOLK - FOOD LION",2.471216,5246,1
"RICHMOND/NORFOLK - NEW FARM FRESH",2.6753,2085,0
"COLUMBUS,OH - BIG BEAR",3.08812,1793,1
"COLUMBUS,OH - KROGER CO",3.187064,2149,1
"LITTLE ROCK - HARVEST FOODS",2.65324,2855,1
"WICHITA - DILLON COMPANIES",3.41412,949,1
"SOUTH CAROLINA - BI LO",2.386542,7906,1
"SOUTH CAROLINA - FOOD LION",2.438452,3875,0
"SOUTH CAROLINA - WINN DIXIE",2.386683,3199,0
"ORLANDO,FL - PUBLIX",2.458134,4610,0
"ORLANDO,FL - WINN DIXIE",2.63319,5128,1
"ORLANDO,FL - FOOD LION",2.553636,1100,1
"SYRACUSE - P & C FOOD MARKE",3.313472,386,0
"SYRACUSE - PRICE CHOPPER",2.368301,1754,1
"SYRACUSE - WEGMANS",3.4464,625,1
"NEW ENGLAND (NORTH) - SHOP N SAVE",1.986582,7527,1
"SAN ANT/CORPUS CHR - H E BUTT",3.053394,14084,1
"BIRMINGHAM/MONTGOM - BRUNOS",2.300071,9861,1
"BIRMINGHAM/MONTGOM - KROGER",2.601935,1550,1
"BIRMINGHAM/MONTGOM - WINN DIXIE",2.352847,4373,0
"HARRISBURG/SCRANTN - GIANT FOOD STO",2.519266,1090,1
"NEW YORK (NEW) - A & P",3.504492,5566,0
"NEW YORK (NEW) - PATHMARK",4.386534,2807,0
"NEW YORK (NEW) - WALDBAUMS",3.251438,1217,0
"ROANOKE (NEW) - FOOD LION",2.448896,2671,1
"ROANOKE (NEW) - KROGER CO",2.468073,3461,1
"LOS ANGELES - LUCKY",2.921906,11499,1
"LOS ANGELES - RALPHS",3.053306,6397,1
"LOS ANGELES - VONS",3.660762,5645,0
"CHICAGO - DOMINICK",3.254301,4825,0
"CHICAGO - JEWEL",3.28158,12508,0
"CHICAGO - OMNI",2.726646,3479,0
"HOUSTON - KROGER CO",2.451144,12107,1
"HOUSTON - RANDALLS",3.674747,2970,0
"PITTSBURGH - GIANT EAGLE",2.23168,3125,1
"DETROIT - FARMER JACKS",3.395604,2730,1
"DETROIT - KROGER CO",2.715785,5144,0
"CLEVELAND - STOP N SHOP",2.952689,2938,1
"ST. LOUIS - NATIONAL SUPER",3.650623,1766,0
"ST. LOUIS - SCHNUCK MARKETS",3.319873,4730,1
"DALLAS/FT. WORTH - ALBERTSONS",3.187166,2992,0
"DALLAS/FT. WORTH - KROGER CO",3.731402,1519,0
"DALLAS/FT. WORTH - TOM THUMB",2.666777,6038,0
"DALLAS/FT. WORTH - WINN DIXIE",2.506653,1954,1
"BOSTON - SHAWS",2.446429,3136,0
"BOSTON - STAR MARKET",3.127055,669,0
"BOSTON - STOP & SHOP",2.386258,3653,0
"SAN FRANCISCO - LUCKY",2.822118,10417,1
"TAMPA/ST. PETE - KASH N KARRY",2.651927,3867,0
"TAMPA/ST. PETE - PUBLIX",2.982528,3892,0
"TAMPA/ST. PETE - WINN DIXIE",2.767498,4172,0
"DENVER - KING SOOPERS INC",2.65194,11159,1
"PHILADELPHIA - ACME MARKET",3.679924,3168,0
"ATLANTA - KROGER CO",3.378017,3894,0
"ATLANTA - WINN DIXIE",2.694553,2570,0
"CINCINNATI - KROGER CO",2.653165,4913,1
"INDIANAPOLIS - KROGER CO",2.653769,2998,1
"OKLAHOMA CITY - HOMELAND",3.227648,1454,0
"SACRAMENTO - RALEYS",2.653237,3599,1
"SAN DIEGO - LUCKY",3.036685,4634,1
"SAN DIEGO - RALPHS",3.053694,2626,1
"SALT LAKE CITY - SMITHS FOOD",2.989756,1269,1
"PHOENIX - SAFEWAY",3.585526,1216,1
"PHOENIX - FRY'S FOOD STORE",3.563172,1488,0
"PHOENIX - SMITHS FOOD",3.319579,1139,1
"MIAMI - PUBLIX",3.058091,8435,1
"MIAMI - WINN DIXIE",2.526197,8436,0
"NASHVILLE - KROGER CO",2.827953,2447,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.496143,2463,1
"RALEIGH/GREENSBORO - FOOD LION",2.561633,4900,1
"ALBANY,NY - PRICE CHOPPER",2.386476,1612,1
"BALTI/WASH - GIANT FOOD INC",3.781142,4359,0
"BALTI/WASH - SAFEWAY",4.119343,3226,0
"BALTI/WASH - SUPER FRESH",3.901685,1068,0
"MILWAUKEE - KOHLS FOOD STORE",3.036301,1460,0
"NEW ORLEANS - WINN DIXIE",2.642049,4333,1
"BUFFALO/ROCHESTER - TOPS MARKETS",3.232823,2285,0
"BUFFALO/ROCHESTER - WEGMANS",3.379227,2070,1
"CHARLOTTE - BI LO",2.386927,1897,1
"CHARLOTTE - HARRIS TEETER",2.457909,1865,0
"CHARLOTTE - WINN DIXIE",2.333938,2755,1
"CHARLOTTE - FOOD LION",2.505508,4176,1
"HARTFORD - STOP & SHOP",2.386673,6018,0
"JACKSONVILLE,FL - PUBLIX",2.675558,1612,0
